régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2022,entrées 2021,évolution entrées,tranche d'entrées,programmateur,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude,geolocalisation
1,8621,LES FAUVETTES,ILE-DE-FRANCE,58 AVENUE DES GOBELINS,75113,Paris 13e Arrondissement,179013,75,851,Paris,10949158,01-Paris,5,645,53,9471,104284,75716,37.73046648,De 100 à 150 000 entrées,PATHE-GAUMONT,,NON,,FIXE,,C,283,83,52,40.01842441,41.65738697,13.27164868,5.052539936,164,42.35994412,48.833574,2.353775,"48.833574, 2.353775"
1,9803,LES 7 BATIGNOLLES CINEMOVIDA,ILE-DE-FRANCE,ALLEE COLETTE HEILBRONNER,75117,Paris 17e Arrondissement,167765,75,851,Paris,10949158,01-Paris,7,1151,53,13310,136069,93497,45.53301175,De 100 à 150 000 entrées,FONT,,NON,,FIXE,,C,242,138,117,39.80983974,39.65176221,14.76194926,5.776448784,125,32.12555872,48.893315,2.311503,"48.893315, 2.311503"
2,10992,PANDORA,ILE-DE-FRANCE,6 ALLEE SIMONE SIGNORET,78005,Achères,21812,78,851,Paris,10949158,03-Grande couronne,3,257,50,4503,60322,37686,60.06474553,De 50 à 80 000 entrées,,,C,RDJP,FIXE,,B,265,186,79,71.89876642,10.29438521,12.04650486,5.76034351,209,74.91721553,48.960956,2.067774,"48.960956, 2.067774"
2,22636,MEGARAMA,ILE-DE-FRANCE,8 AVENUE SALVADOR ALLENDE,94003,Arcueil,21962,94,851,Paris,10949158,02-Petite Couronne,6,781,53,9960,151742,102911,47.44973812,De 150 à 200 000 entrées,MEGARAMA,,NON,,FIXE,,B,169,131,122,21.98342093,60.6171317,11.463561,5.93588636,16,2.09975138,48.810228,2.328168,"48.810228, 2.328168"
2,28264,STUDIO,ILE-DE-FRANCE,2 RUE EDOUARD POISSON,93001,Aubervilliers,89559,93,851,Paris,10949158,02-Petite Couronne,1,127,49,1246,27642,13653,102.4609976,De 20 à 30 000 entrées,,,C,JPPR,FIXE,,B,295,190,6,62.48897513,20.0432175,8.863997178,8.603810196,212,73.98130182,48.910534,2.384966,"48.910534, 2.384966"
2,30164,THEATRE ET CINEMA JACQUES PREVERT,ILE-DE-FRANCE,134 RUE ANATOLE FRANCE,93005,Aulnay-sous-Bois,86873,93,851,Paris,10949158,02-Petite Couronne,2,789,48,1156,22231,11153,99.32753519,De 20 à 30 000 entrées,,,C,JP,FIXE,,B,323,253,10,58.82499502,24.81064381,9.861470999,6.502890173,198,56.21387283,48.940586,2.496291,"48.940586, 2.496291"
2,36013,LE CIN'HOCHE,ILE-DE-FRANCE,6 RUE HOCHE,93006,Bagnolet,38571,93,851,Paris,10949158,02-Petite Couronne,2,288,49,2064,31919,17239,85.15575149,De 30 à 40 000 entrées,,,C,RDJPPR,FIXE,,B,249,166,26,64.83696245,16.79450362,7.706568759,10.66196518,199,83.0491839,48.869237,2.417029,"48.869237, 2.417029"
2,37350,CINE TOILE,ILE-DE-FRANCE,2 RUE DES COLOMBES,91045,Ballancourt-sur-Essonne,7812,91,91402,Ballancourt-sur-Essonne,35751,03-Grande couronne,1,189,44,475,5652,5624,0.497866287,De 5 à 10 000 entrées,,,NON,,FIXE,,C,103,91,24,55.86307356,39.53022578,4.38820102,0.218499636,27,20.97596504,48.528643,2.388787,"48.528643, 2.388787"
2,61504,SALLE ANDRE MALRAUX,ILE-DE-FRANCE,25 COURS DE LA REPUBLIQUE,93010,Bondy,53509,93,851,Paris,10949158,02-Petite Couronne,1,324,49,1337,28191,18071,56.00132809,De 20 à 30 000 entrées,,,C,JP,FIXE,,B,253,169,7,50.81356204,34.13353639,8.388105162,6.664796409,145,45.48332799,48.901598,2.480089,"48.901598, 2.480089"
2,68212,AUDITORIUM DU CONSERVATOIRE,ILE-DE-FRANCE,11 BD CARNOT,92014,Bourg-la-Reine,21291,92,851,Paris,10949158,02-Petite Couronne,1,177,21,30,1059,383,176.5013055,Moins de 2000 entrées,,,NON,,FIXE,,B,29,9,0,69.95121951,17.65853659,6.829268293,5.56097561,18,63.80487805,48.778884,2.317531,"48.778884, 2.317531"
2,74662,LES 4 VENTS,ILE-DE-FRANCE,80 RUE DU GENERAL LECLERC,77053,Brie-Comte-Robert,19447,77,77306,Brie-Comte-Robert,19447,03-Grande couronne,1,168,51,922,20328,10261,98.10934607,De 20 à 30 000 entrées,,,E,JPPR,FIXE,,I,271,208,2,63.11787072,18.95079076,11.42337576,6.507962749,149,41.37322973,48.696652,2.607228,"48.696652, 2.607228"
2,105652,REX,ILE-DE-FRANCE,364 AVE DE LA DIVISION LECLERC,92019,Châtenay-Malabry,34748,92,851,Paris,10949158,02-Petite Couronne,2,551,49,2596,40372,24420,65.32350532,De 40 à 50 000 entrées,,,C,RDJP,FIXE,,B,247,169,87,53.75320787,27.56094953,13.43830197,5.247540633,166,49.20605218,48.765842,2.259825,"48.765842, 2.259825"
2,110372,STUDIO 31,ILE-DE-FRANCE,31 PLACE D'ARIANE,77111,Chessy,6780,77,851,Paris,10949158,03-Grande couronne,2,216,51,3478,48738,28990,68.12004139,De 40 à 50 000 entrées,,,C,,FIXE,,B,219,146,35,16.10951859,63.09754658,13.94064581,6.852289014,92,12.57482506,48.856412,2.773682,"48.856412, 2.773682"
2,111583,FRANCOIS TRUFFAUT,ILE-DE-FRANCE,2 RUE DE L ECOLE,91161,Chilly-Mazarin,20050,91,851,Paris,10949158,03-Grande couronne,2,409,53,2951,41110,24560,67.38599349,De 40 à 50 000 entrées,,,C,RDJPPR,FIXE,,B,453,272,39,57.2699779,20.23671048,15.14190997,7.351401652,331,58.79667326,48.703333,2.314917,"48.703333, 2.314917"
2,113523,CINEMA JEANNE MOREAU,ILE-DE-FRANCE,22 RUE PAUL VAILLANT COUTURIER,92023,Clamart,53740,92,851,Paris,10949158,02-Petite Couronne,1,176,47,1004,21872,9894,121.0632707,De 20 à 30 000 entrées,,,C,,FIXE,,B,187,135,23,74.46348841,11.77204859,7.215900907,6.548562101,139,68.33261318,48.802513,2.263801,"48.802513, 2.263801"
2,114032,ESPACE PHILIPPE NOIRET,ILE-DE-FRANCE,PLACE CHARLES DE GAULLE,78165,Les Clayes-sous-Bois,17624,78,851,Paris,10949158,03-Grande couronne,2,313,53,2129,42417,24414,73.74047678,De 40 à 50 000 entrées,,,C,JP,FIXE,,B,246,162,14,59.81355566,25.33096274,11.28516854,3.570313063,129,35.64787007,48.821274,1.987156,"48.821274, 1.987156"
2,115104,CINEMA RUTEBEUF,ILE-DE-FRANCE,16-18  ALLEES LEON-GAMBETTA,92024,Clichy,63166,92,851,Paris,10949158,02-Petite Couronne,1,549,48,1084,17172,,,De 10 à 20 000 entrées,,,C,,FIXE,,B,221,171,7,60.29967263,20.5049106,9.267187107,9.928229665,146,59.97859481,48.90196,2.309342,"48.90196, 2.309342"
